144	210
144	3
144	321
144	11
144	9
144	397
144	56
144	59
144	347
144	330
144	359
144	273
144	96
144	4518
96	210
96	3
96	321
96	327
96	238
96	5
96	99
96	710
96	45
96	40
96	326
96	152
96	56
96	49
96	342
96	144
96	328
96	312
96	21
96	373
96	375
96	323
96	345
96	176
96	242
384	321
384	146
384	164
384	346
384	277
384	255
343	321
343	9
343	16
343	300
710	164
362	321
362	155
362	12
362	96
273	210
273	321
273	238
273	959
273	45
273	1227
273	346
449	238
449	437
449	110
449	331
449	439
449	340
449	357
449	330
449	372
449	342
449	328
449	2007
449	3518
449	2099
449	321
449	746
202	210
202	3
202	321
202	327
202	238
202	99
202	11
202	146
202	378
202	45
202	326
203	210
203	3
203	321
203	238
203	5
203	11
203	146
203	110
203	353
203	164
203	326
203	111
203	397
203	59
203	224
203	49
203	344
203	340
203	374
203	330
203	438
203	161
203	61
203	359
203	273
203	372
37	321
37	327
37	5
37	16
37	300
37	378
37	96
37	40
37	326
37	365
37	311
37	437
37	111
37	397
37	343
37	439
37	56
37	299
37	218
37	11
37	255
37	224
37	259
97	3
97	321
97	327
97	99
97	146
97	9
97	710
97	155
97	218
97	326
380	321
380	238
380	11
380	710
380	959
380	45
380	1227
380	326
311	3
311	321
311	27
363	321
299	3
299	321
299	40
299	365
299	311
299	437
299	346
299	41
299	111
299	331
299	343
299	439
299	152
299	37
299	56
299	348
299	255
299	186
315	3
315	321
315	5
315	110
315	40
315	365
315	346
315	41
315	111
315	228
315	164
315	439
315	152
315	56
375	321
375	5
375	16
375	397
375	96
375	31
375	56
19	3
19	321
19	327
19	238
19	5
19	11
19	146
19	9
331	321
331	11
331	365
331	164
331	397
331	37
212	210
212	3
212	321
212	238
212	5
212	11
212	710
212	155
212	12
212	959
212	353
212	378
212	218
212	326
45	210
45	3
45	321
45	327
45	238
45	5
45	99
45	11
45	146
45	9
45	710
45	155
45	959
45	353
45	378
45	218
45	273
45	164
45	326
102	3
102	321
102	327
102	238
102	5
102	99
102	11
102	146
102	9
102	300
325	321
325	439
325	56
325	10
358	321
358	327
358	238
358	99
358	146
358	218
4518	321
200	321
200	9
200	300
46	210
46	238
46	99
